date,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
2016/7/1 12:45,4689,2679,1883,853,2894,1645,18501
2016/7/1 13:00,4689,2679,1777,1244,3107,1614,18572
2016/7/1 13:15,5090,2947,2132,1173,2985,1645,19697
2016/7/1 13:30,5157,3014,2310,1244,2833,1614,19556
2016/7/1 13:45,5157,3081,2381,1279,2711,1523,19838
2016/7/1 14:00,5090,2947,2452,1350,2559,1432,19556
2016/7/1 14:15,5224,3081,2630,1457,2528,1432,19416
2016/7/1 14:30,5023,3081,2523,1350,2467,1706,19134
2016/7/1 14:45,5157,3014,2487,1315,2650,1523,17024
2016/7/1 15:00,5090,3148,2487,1350,2589,1523,17305
2016/7/1 15:15,4086,2478,1635,1031,2559,1523,18783
2016/7/1 15:30,4354,2813,1741,1102,2589,1462,18853
2016/7/1 15:45,4287,2612,1670,853,2528,1492,19205
2016/7/1 16:00,4220,2411,1706,782,2619,1492,19486
2016/7/1 16:15,4421,2411,1777,817,2680,1492,19627
2016/7/1 16:30,4756,2478,1812,817,2863,1492,18431
2016/7/1 16:45,4756,2478,1777,817,2924,1462,19768
2016/7/1 17:00,4756,2344,1635,711,3076,1492,19134
2016/7/1 17:15,4823,2277,1670,640,3168,1462,20752
2016/7/1 17:30,5358,2478,2452,1421,3290,1462,19768
2016/7/1 17:45,5760,2880,2559,1244,3107,1492,20682
2016/7/1 18:00,5626,2880,2523,1208,3076,1492,20682
2016/7/1 18:15,5760,3081,2523,1244,3015,1492,19838
2016/7/1 18:30,5358,3014,2452,1208,2924,1523,19205
2016/7/1 18:45,5358,2947,2452,1208,2924,1523,19416
2016/7/1 19:00,5492,3014,2452,1208,3015,1553,18712
2016/7/1 19:15,5425,2947,2452,1137,2985,1523,17868
2016/7/1 19:30,5358,2947,2452,1173,2894,1523,18220
2016/7/1 19:45,5358,2947,2452,1208,2863,1553,18501
2016/7/1 20:00,5358,3014,2452,1208,2863,1523,17868
2016/7/1 20:15,5224,3014,2416,1208,2802,1523,18220
2016/7/1 20:30,5291,3014,2381,1173,2863,1553,17868
2016/7/1 20:45,5224,2947,2345,1137,2833,1553,17868
2016/7/1 21:00,5090,2947,2381,1208,2680,1523,18009
2016/7/1 21:15,4890,2947,2310,1208,2619,1492,18361
2016/7/1 21:30,4890,2947,2310,1208,2559,1492,18642
2016/7/1 21:45,4890,2947,2203,1137,2680,1553,18009
2016/7/1 22:00,4823,2947,2203,1173,2619,1523,18009
2016/7/1 22:15,4823,2947,2203,1173,2589,1553,17587
2016/7/1 22:30,4756,2947,2132,1137,2589,1584,18290
2016/7/1 22:45,4823,2947,2132,1173,2619,1553,19416
2016/7/1 23:00,4622,2880,2132,1137,2467,1492,19768
2016/7/1 23:15,4823,2947,2097,1137,2619,1553,20752
2016/7/1 23:30,5023,3818,2132,2168,2589,1523,21315
2016/7/1 23:45,5358,2947,2345,1457,2619,1584,21878
2016/7/2 0:00,5224,3081,2701,1315,2437,1523,21104
2016/7/2 0:15,5425,3081,2985,1457,2376,1492,21104
2016/7/2 0:30,5224,3081,2878,1457,2376,1462,21385
2016/7/2 0:45,4354,3148,2416,1492,2284,1432,21174
2016/7/2 1:00,5157,3014,2878,1350,2345,1432,19697
2016/7/2 1:15,5224,3148,2914,1457,2315,1462,20541
2016/7/2 1:30,5157,3014,2914,1421,2224,1462,19768
2016/7/2 1:45,4890,3014,2772,1315,2284,1432,19838
2016/7/2 2:00,5157,3148,2878,1492,2284,1432,20049
2016/7/2 2:15,4488,3081,2452,959,2254,1432,21034
2016/7/2 2:30,4890,3014,2736,1386,2193,1432,19979
2016/7/2 2:45,5090,3148,2949,1492,2163,1401,20330
2016/7/2 3:00,5157,3081,2914,1492,2193,1401,20752
2016/7/2 3:15,4354,3014,2523,1457,2193,1401,20471
2016/7/2 3:30,5090,3081,2914,1492,2193,1401,21174
2016/7/2 3:45,5090,3081,2878,1421,2193,1401,20823
2016/7/2 4:00,4555,3081,2452,1492,2193,1401,21385
2016/7/2 4:15,5291,3148,3020,1492,2193,1401,21034
2016/7/2 4:30,5157,3081,2949,1421,2224,1432,20893
2016/7/2 4:45,4354,3014,2559,1457,2224,1401,20752
2016/7/2 5:00,5425,3282,3092,1706,2437,1462,22230
2016/7/2 5:15,5760,3416,3092,1670,2711,1584,21174
2016/7/2 5:30,5425,3282,2843,1635,2741,1523,20401
2016/7/2 5:45,6162,3349,3198,1564,2955,1492,20260
2016/7/2 6:00,5492,3282,2523,1492,2985,1462,20260
2016/7/2 6:15,5492,3014,2310,1244,3107,1523,19134
2016/7/2 6:30,5559,3014,2310,1315,3229,1553,20330
2016/7/2 6:45,5693,3014,2452,1492,3076,1492,20893
2016/7/2 7:00,5626,3215,2487,1492,3076,1523,21104
2016/7/2 7:15,5760,3215,2487,1421,3137,1614,19275
2016/7/2 7:30,5559,3282,2487,1492,3107,1553,19064
2016/7/2 7:45,5559,3215,2594,1635,2924,1523,20260
2016/7/2 8:00,5559,3282,2594,1670,2924,1523,20612
2016/7/2 8:15,5492,3349,2701,1635,2833,1492,18853
2016/7/2 8:30,5559,3349,2701,1599,2772,1523,19697
2016/7/2 8:45,5224,3282,2523,1564,2680,1462,18220
2016/7/2 9:00,5224,3215,2559,1564,2680,1462,18361
2016/7/2 9:15,5157,3282,2487,1599,2680,1432,19275
2016/7/2 9:30,5224,3349,2487,1599,2802,1492,21315
2016/7/2 9:45,7904,4689,4726,2452,2894,1523,21526
2016/7/2 10:00,9913,4957,6645,3305,3046,1553,20963
2016/7/2 10:15,11253,5827,7604,3589,3290,1736,19064
2016/7/2 10:30,12056,5358,8422,2878,3746,1706,18220
2016/7/2 10:45,11989,5358,8173,2345,3868,1767,19275
2016/7/2 11:00,11788,5425,8173,2523,3686,1675,19416
2016/7/2 11:15,11721,5559,7818,2487,3533,1736,19979
2016/7/2 11:30,11320,5425,7569,2949,3229,1706,21174
2016/7/2 11:45,10516,5358,7427,2416,3229,1736,21034
2016/7/2 12:00,9645,4957,6752,2132,3107,1828,20823
2016/7/2 12:15,10650,4555,7000,2594,2894,1767,20471
2016/7/2 12:30,11119,5693,8280,3447,3076,1797,20963
2016/7/2 12:45,10583,5559,7676,3198,3046,1828,21526
2016/7/2 13:00,10382,5760,7462,2559,2985,1767,20190
2016/7/2 13:15,10315,4756,6645,2310,2985,1797,18361
2016/7/2 13:30,8573,3952,5757,1954,2833,1767,18642
2016/7/2 13:45,8908,4890,6219,2665,2833,1949,20471
2016/7/2 14:00,8774,4689,6112,2025,2894,1919,21315
2016/7/2 14:15,9243,4555,6610,1848,2741,1858,21667
2016/7/2 14:30,9779,4421,6929,2523,2833,1736,20541
2016/7/2 14:45,10449,5224,6894,2381,2650,1736,21808
2016/7/2 15:00,10449,5157,6965,2452,2772,1736,22019
2016/7/2 15:15,9913,4555,6929,2594,2894,1858,21526
2016/7/2 15:30,9980,5023,6929,2559,2985,1828,20471
2016/7/2 15:45,9712,5090,6965,2736,2863,1767,20119
2016/7/2 16:00,9846,4823,7036,2665,2894,1767,20682
2016/7/2 16:15,9511,4823,6681,2203,2894,1706,22230
2016/7/2 16:30,10181,4287,6929,2843,3320,1736,23707
2016/7/2 16:45,10583,4823,7427,2630,3107,1736,24973
2016/7/2 17:00,9913,4823,6894,2416,3229,1736,25466
2016/7/2 17:15,10918,4823,7533,2523,3381,1797,25817
2016/7/2 17:30,11253,4823,7782,2523,3503,1706,26028
2016/7/2 17:45,10784,4756,7249,2310,3472,1797,26028
2016/7/2 18:00,10650,4689,6929,2452,3381,1797,25888
2016/7/2 18:15,10382,4488,7143,2239,3168,1797,26310
2016/7/2 18:30,9779,4488,6858,2168,3076,1736,27646
2016/7/2 18:45,9980,4354,6823,2203,3107,1736,27295
2016/7/2 19:00,10114,4354,6645,1812,3107,1736,27857
2016/7/2 19:15,10114,4287,6894,2097,3198,1706,27717
2016/7/2 19:30,10717,4488,7249,2203,3411,1736,27646
2016/7/2 19:45,10047,4354,6610,1954,3350,1736,27717
2016/7/2 20:00,9980,4153,6574,1954,3411,1767,27295
2016/7/2 20:15,9779,4019,6396,1883,3411,1919,26732
2016/7/2 20:30,9511,4220,6183,1919,3290,1858,24059
2016/7/2 20:45,9377,4086,6041,1883,3381,1828,22933
2016/7/2 21:00,9310,4220,6005,2132,3229,1858,22230
2016/7/2 21:15,9042,3818,6290,1421,3137,1858,22089
2016/7/2 21:30,9042,4689,6361,2381,3015,1797,21737
2016/7/2 21:45,9578,4622,6183,1741,2894,1828,21174
2016/7/2 22:00,9444,4622,6965,2168,2955,1858,21948
2016/7/2 22:15,10717,4890,7107,1990,2772,1797,23637
2016/7/2 22:30,10315,5023,6929,2239,2833,1767,25255
2016/7/2 22:45,9645,4823,7107,1954,3076,1797,26662
2016/7/2 23:00,9444,4287,6823,2559,2589,1736,27295
2016/7/2 23:15,10382,4957,7604,2594,2528,1736,28139
2016/7/2 23:30,10918,5090,7711,2203,2589,1736,28350
2016/7/2 23:45,11052,5492,8386,2843,2680,1767,29053
2016/7/3 0:00,10382,5425,7604,2310,2955,1675,29335
2016/7/3 0:15,9980,5291,7889,2949,2863,2071,28772
2016/7/3 0:30,10717,5023,7711,2310,2650,1736,27506
2016/7/3 0:45,10784,5157,7995,2878,2589,1858,26169
2016/7/3 1:00,9779,5224,6716,2843,2650,1675,26028
2016/7/3 1:15,10918,5425,7640,2665,2589,1706,25958
2016/7/3 1:30,10650,5090,8102,2736,2650,1736,26099
2016/7/3 1:45,9980,4756,7391,2914,2589,1767,25958
2016/7/3 2:00,10382,4689,7320,2203,2985,1858,24340
2016/7/3 2:15,10650,5224,7676,2878,2802,1797,22722
2016/7/3 2:30,9444,4421,6610,2772,2589,1706,22933
2016/7/3 2:45,9645,5157,6538,2701,2589,1706,24832
2016/7/3 3:00,9779,4153,6823,1990,2528,1675,26450
2016/7/3 3:15,10315,5090,7604,2772,2528,1706,27013
2016/7/3 3:30,9377,4555,6965,2416,2528,1675,27365
2016/7/3 3:45,9578,4354,6503,2239,2528,1980,26450
2016/7/3 4:00,10717,4756,7356,2807,2650,1797,25958
2016/7/3 4:15,9109,4756,6645,2203,2863,1828,25184
2016/7/3 4:30,8306,4689,5508,2416,2772,1828,24621
2016/7/3 4:45,9913,5023,7533,2807,2894,1949,24129
2016/7/3 5:00,10315,4689,7391,2452,2924,1858,24059
2016/7/3 5:15,11588,4689,8102,2523,3046,1828,24410
2016/7/3 5:30,10717,4555,7249,1812,3259,1888,24551
2016/7/3 5:45,11922,5358,7853,2203,3503,1888,25325
2016/7/3 6:00,12592,5224,8671,2203,3716,1949,25325
2016/7/3 6:15,12257,5157,8493,2559,3777,1919,25395
2016/7/3 6:30,11320,5425,7391,1883,3838,1980,25395
2016/7/3 6:45,11922,4019,8528,2452,3777,2041,24410
2016/7/3 7:00,11119,4622,7889,2843,3625,1919,23637
2016/7/3 7:15,12458,5492,8742,2949,3533,1919,22722
2016/7/3 7:30,12592,6028,8777,2772,3594,1919,24621
2016/7/3 7:45,11052,4622,7320,2665,3625,1919,26450
2016/7/3 8:00,10650,4421,7036,2025,3594,1919,26380
2016/7/3 8:15,10449,4622,7320,2061,3472,1949,26310
2016/7/3 8:30,10717,4890,7320,2203,3442,1919,27998
2016/7/3 8:45,10315,4689,6858,2168,3411,1949,28913
2016/7/3 9:00,10047,4220,6432,1670,3686,1949,27365
2016/7/3 9:15,10047,5157,7107,2452,3229,1980,26028
2016/7/3 9:30,11186,5291,7533,2878,3381,1888,25255
2016/7/3 9:45,11454,5224,7427,2274,3259,1858,27154
2016/7/3 10:00,11721,5090,7889,2559,3564,1858,28068
2016/7/3 10:15,11922,5492,8315,2878,4142,1949,29475
2016/7/3 10:30,12257,4756,8244,2487,4051,1828,30812
2016/7/3 10:45,12123,5693,8066,2487,4234,1949,30179
2016/7/3 11:00,12123,5358,8066,2487,4082,1919,29475
2016/7/3 11:15,11253,5023,7320,2203,3777,1767,27857
2016/7/3 11:30,10985,4555,6965,2168,3350,1828,25958
2016/7/3 11:45,10248,5023,6396,2097,3320,1797,25606
2016/7/3 12:00,9980,5023,6858,2559,3290,1858,26802
2016/7/3 12:15,9444,4957,6538,2523,3229,1888,27154
2016/7/3 12:30,10047,4823,6219,1883,3168,1888,28772
2016/7/3 12:45,9444,4421,6396,2203,3168,1888,29405
2016/7/3 13:00,9243,4957,6290,2630,3137,1888,29968
2016/7/3 13:15,10248,5157,6610,2381,3046,2102,30038
2016/7/3 13:30,10047,4756,6858,2559,3107,1797,29968
2016/7/3 13:45,10114,5090,6396,2274,2985,1888,29968
2016/7/3 14:00,10181,5425,7178,3020,3076,1888,30390
2016/7/3 14:15,10248,5023,6538,2665,3107,1888,30812
2016/7/3 14:30,10047,5090,6574,2736,3046,1797,31375
2016/7/3 14:45,9578,4421,6503,2630,2924,2041,31375
2016/7/3 15:00,9645,5425,7107,2665,3015,1828,31164
2016/7/3 15:15,10449,5157,6858,2239,2985,1888,30320
2016/7/3 15:30,9913,4689,6858,2310,3076,1797,29475
2016/7/3 15:45,9779,5090,6645,2736,2955,1797,29475
2016/7/3 16:00,9779,4890,6503,2985,3076,2010,29757
2016/7/3 16:15,9846,4890,6645,3020,3290,1919,30038
2016/7/3 16:30,10181,5090,6752,2772,3746,1919,30038
2016/7/3 16:45,10717,4957,7107,2523,3868,1919,31164
2016/7/3 17:00,11119,5157,7320,2914,3807,1980,32289
2016/7/3 17:15,11721,5157,7747,3305,3899,1888,32078
2016/7/3 17:30,11922,5291,7924,2736,4203,1980,31586
2016/7/3 17:45,11521,5090,7853,2701,3807,1949,32993
2016/7/3 18:00,11052,4957,7391,2523,3686,1980,31938
2016/7/3 18:15,10918,4890,7320,2630,3503,1797,32500
2016/7/3 18:30,10784,4890,7214,2701,3442,1828,32360
2016/7/3 18:45,10918,4890,7285,2487,3594,1858,31445
2016/7/3 19:00,10784,4890,7214,2487,3594,1888,28561
2016/7/3 19:15,10717,4890,7143,2878,3655,1888,24903
2016/7/3 19:30,10918,4756,7107,2345,3838,1858,23848
2016/7/3 19:45,10918,4823,7107,2381,3807,1919,23707
2016/7/3 20:00,11186,4890,7178,2345,3960,1919,21526
2016/7/3 20:15,10851,4823,6929,2381,3899,1949,21948
2016/7/3 20:30,10784,4756,6858,2239,3929,2010,20330
2016/7/3 20:45,10650,4756,6752,2310,3838,1980,20612
2016/7/3 21:00,10449,4890,6610,2310,3807,2041,22230
2016/7/3 21:15,10650,5358,6574,2630,3503,2041,21385
2016/7/3 21:30,10449,5693,6681,2559,3503,1949,20401
2016/7/3 21:45,9645,4957,6325,2559,3290,1888,19979
2016/7/3 22:00,9578,5760,6787,3127,3259,1888,19416
2016/7/3 22:15,10181,5760,6503,2487,3259,1888,18431
2016/7/3 22:30,10315,5693,6752,3447,3411,1980,18220
2016/7/3 22:45,10181,5760,6716,3127,3381,1980,18431
2016/7/3 23:00,9310,5760,6610,3056,3168,1888,18572
2016/7/3 23:15,9980,5023,6467,3092,3229,1949,18009
2016/7/3 23:30,9913,5425,6325,2878,3137,1858,18712
2016/7/3 23:45,9913,5693,6219,3020,3046,1858,19345
2016/7/4 0:00,9913,5894,6254,2630,3015,1858,21667
2016/7/4 0:15,9779,5492,6752,2985,3015,1888,24481
2016/7/4 0:30,9377,5425,5934,2487,2863,1828,25888
2016/7/4 0:45,9377,5492,6290,2843,2924,1828,25958
2016/7/4 1:00,8975,4957,6290,2665,2863,1828,25536
2016/7/4 1:15,9578,5425,6681,3482,2924,1797,27717
2016/7/4 1:30,9310,5425,5828,2843,2894,1828,29124
2016/7/4 1:45,8640,4689,5828,2487,2863,1797,28702
2016/7/4 2:00,8640,4823,6148,2594,2924,1828,27857
2016/7/4 2:15,9243,5626,6645,3163,2863,1828,28068
2016/7/4 2:30,9243,4756,5757,2416,2833,2132,28913
2016/7/4 2:45,9176,5425,5721,2665,2863,1858,28983
2016/7/4 3:00,9176,5492,5579,2381,2863,1858,27928
2016/7/4 3:15,8506,4689,5650,2416,2863,1858,28068
2016/7/4 3:30,8372,5492,5721,2452,2894,1828,27646
2016/7/4 3:45,9109,5358,5757,3020,2772,1828,24973
2016/7/4 4:00,9109,4823,5650,2523,2772,1797,24621
2016/7/4 4:15,9310,5492,6432,2843,2863,1858,24832
2016/7/4 4:30,9377,4957,5721,3056,3015,1888,24692
2016/7/4 4:45,9578,5626,5899,2452,3076,1888,24340
2016/7/4 5:00,9846,5559,5970,2949,3107,1888,23848
2016/7/4 5:15,10181,4957,6396,2594,3229,1888,23426
2016/7/4 5:30,10114,4957,6681,2416,3442,1888,21878
2016/7/4 5:45,11119,5023,7000,2701,3686,2010,23426
2016/7/4 6:00,11588,5425,7391,2807,3807,1980,23074
2016/7/4 6:15,10784,5157,7214,2523,3716,1888,21808
2016/7/4 6:30,10985,5961,7498,3092,3746,1888,23074
2016/7/4 6:45,10918,4957,7071,2807,3899,2041,21948
2016/7/4 7:00,11788,6095,7214,2985,3899,2041,22511
2016/7/4 7:15,11655,5626,7320,3411,3807,2102,21385
2016/7/4 7:30,10851,6363,7249,3020,3807,2071,21526
2016/7/4 7:45,11588,5693,7214,2878,3777,2071,21174
2016/7/4 8:00,10583,5961,7143,2914,3655,2071,21667
2016/7/4 8:15,10650,5559,7107,2807,3686,1980,22511
2016/7/4 8:30,11320,6095,7320,2949,3533,1980,23566
2016/7/4 8:45,10516,6162,7107,3198,3777,2163,24481
2016/7/4 9:00,11588,6296,7569,3056,3472,2010,25395
2016/7/4 9:15,11721,6296,7995,3589,3594,2132,23848
2016/7/4 9:30,11186,5626,7498,2949,3533,2224,25325
2016/7/4 9:45,11387,5492,7640,2949,3686,2071,24551
2016/7/4 10:00,11922,6229,7711,3056,3746,1949,25184
2016/7/4 10:15,13128,5559,8564,3020,4112,2071,27646
2016/7/4 10:30,13329,6095,8528,2985,4295,1980,29053
2016/7/4 10:45,13195,6363,8955,3482,4386,1980,28350
2016/7/4 11:00,12324,5559,8422,3234,4203,1980,29546
2016/7/4 11:15,12257,6363,7782,3198,4021,1980,30390
2016/7/4 11:30,11721,5626,7533,3234,3686,1888,31586
2016/7/4 11:45,10449,5961,7320,3234,3472,1888,30601
2016/7/4 12:00,10382,5894,6858,2630,3564,1949,29475
2016/7/4 12:15,10784,6028,7000,3447,3381,2010,27857
2016/7/4 12:30,10717,5894,6894,3553,3290,1949,29124
2016/7/4 12:45,10650,5961,6610,3234,3564,2071,29616
2016/7/4 13:00,10047,5425,6752,3020,3320,1949,29264
2016/7/4 13:15,10583,6095,6787,2985,3229,1980,28772
2016/7/4 13:30,10047,5291,6716,2843,3259,2315,30038
2016/7/4 13:45,10650,5559,6681,3198,3350,2071,30320
2016/7/4 14:00,10516,6028,7107,3376,3137,1919,30953
2016/7/4 14:15,10650,5961,6787,3589,3259,2071,30742
2016/7/4 14:30,10650,6095,7143,2914,3259,1980,31023
2016/7/4 14:45,9846,5492,6645,3127,3320,2071,31164
2016/7/4 15:00,10717,6095,6787,3020,3168,2010,31726
2016/7/4 15:15,10047,5224,6574,2843,3381,2102,31375
2016/7/4 15:30,10047,5224,6716,2701,3686,2041,31797
2016/7/4 15:45,9980,5023,6610,2736,3320,1980,32571
2016/7/4 16:00,9980,5023,6503,2559,3442,2041,33133
2016/7/4 16:15,10516,5090,6752,2452,3716,2132,33204
2016/7/4 16:30,10851,5492,6929,2843,3655,2102,32782
2016/7/4 16:45,10784,5023,7071,2594,3655,2010,31023
2016/7/4 17:00,11320,5090,7356,2452,3868,2041,28983
2016/7/4 17:15,11922,5157,7818,2381,4051,2284,28772
2016/7/4 17:30,11788,4890,7747,2345,4082,2010,28491
2016/7/4 17:45,11521,4957,7391,2665,4112,2041,28279
2016/7/4 18:00,11387,4957,7356,2452,4295,2193,28983
2016/7/4 18:15,9645,3952,7143,2310,2650,1279,29616
2016/7/4 18:30,9377,3952,6752,2274,2467,1279,30038
2016/7/4 18:45,9377,3751,6965,2239,2406,1188,31586
2016/7/4 19:00,9377,3885,6894,2239,2467,1188,31726
2016/7/4 19:15,9645,3885,7071,2239,2528,1249,31445
2016/7/4 19:30,9846,3952,7143,2274,2650,1310,30601
2016/7/4 19:45,9779,4488,7000,2274,2711,1371,29897
2016/7/4 20:00,10114,4086,7143,2239,2955,1462,25184
2016/7/4 20:15,10516,4555,7107,2274,3777,1767,26450
2016/7/4 20:30,10583,4689,6858,2274,3868,1919,27928
2016/7/4 20:45,10516,4823,6929,2381,3594,1980,29475
2016/7/4 21:00,10382,4823,6894,2310,3503,2010,30531
2016/7/4 21:15,10784,5358,7178,2345,3472,1980,29546
2016/7/4 21:30,10315,4488,6823,2025,3411,1980,30179
2016/7/4 21:45,10114,4555,6681,2097,3381,2071,29264
2016/7/4 22:00,9645,4890,6610,1919,3259,1919,27646
2016/7/4 22:15,10717,4622,7285,2168,3503,1919,23848
2016/7/4 22:30,11721,5425,7818,2630,3229,1919,22230
2016/7/4 22:45,11788,6028,8102,2985,3259,2041,23988
2016/7/4 23:00,12726,6497,9346,3482,3168,1980,25466
2016/7/4 23:15,12525,5961,9204,3411,3137,1980,26380
2016/7/4 23:30,12458,6229,8884,3340,3076,1919,25888
2016/7/4 23:45,11119,5827,8671,3482,3015,1949,26310
2016/7/5 0:00,11989,5626,8777,2949,3198,1980,25958
2016/7/5 0:15,10516,5425,7214,2843,3015,1919,26310
2016/7/5 0:30,12525,5827,8635,3802,3290,2010,27365
2016/7/5 0:45,11454,6028,8138,3092,3076,2010,27717
2016/7/5 1:00,12525,6296,8955,3163,3137,2010,25958
2016/7/5 1:15,9310,5224,6396,2168,3015,1888,25044
2016/7/5 1:30,10248,5358,7214,2772,2985,2041,24973
2016/7/5 1:45,11387,5559,8564,3020,3076,2071,25747
2016/7/5 2:00,12324,6296,8813,3376,2985,1919,26028
2016/7/5 2:15,9779,5224,6183,2381,2924,1919,26662
2016/7/5 2:30,10248,4756,8671,2381,2833,1888,26732
2016/7/5 2:45,12257,6095,8955,3838,2833,1858,27928
2016/7/5 3:00,10717,5425,8066,2878,2833,1858,28913
2016/7/5 3:15,10315,4957,7143,2452,2863,1919,29194
2016/7/5 3:30,10449,4555,6894,2381,2955,1949,30249
2016/7/5 3:45,11788,5693,8848,3056,3046,1949,30671
2016/7/5 4:00,11320,5626,7676,2630,3046,1888,30460
2016/7/5 4:15,10315,5358,7320,2630,3046,2254,30320
2016/7/5 4:30,9243,4957,6076,2274,3137,2071,30531
2016/7/5 4:45,10784,5425,7462,2239,3320,2132,31726
2016/7/5 5:00,10851,4689,6823,1883,3320,2041,31375
2016/7/5 5:15,12123,5090,8138,2274,3320,1949,31656
2016/7/5 5:30,11186,4287,7071,1777,3564,1919,31586
2016/7/5 5:45,12324,5693,8671,2878,3777,1980,32219
2016/7/5 6:00,13329,5425,8884,2736,4082,1949,32782
2016/7/5 6:15,12659,5626,8813,2843,3929,1949,32219
2016/7/5 6:30,11721,4957,7747,2416,3838,1980,32711
2016/7/5 6:45,11454,5760,7924,2949,3807,1949,32711
2016/7/5 7:00,11454,5224,7853,2772,3655,2010,31726
2016/7/5 7:15,12860,5693,8742,2949,3564,1919,31515
2016/7/5 7:30,11521,5894,7320,3163,3625,2041,30460
2016/7/5 7:45,11588,5827,7569,3198,3564,2315,31304
2016/7/5 8:00,11052,5961,7462,3127,3564,2102,30320
2016/7/5 8:15,11588,5626,7711,3020,3533,2071,29335
2016/7/5 8:30,11655,5961,7533,3305,3503,2132,29686
2016/7/5 8:45,10918,4890,7533,2949,3472,2041,29686
2016/7/5 9:00,10985,6028,7533,2701,3411,2041,30460
2016/7/5 9:15,11655,5626,7533,2452,3442,1949,32641
2016/7/5 9:30,11119,6028,7818,2772,3564,2102,33133
2016/7/5 9:45,11320,5693,7889,2452,3655,2071,33415
2016/7/5 10:00,12793,5961,8564,3447,3838,2163,32922
2016/7/5 10:15,12190,5626,8386,2914,3899,1949,32782
2016/7/5 10:30,14133,6028,9132,3163,4203,2071,32711
2016/7/5 10:45,13195,6631,9132,3482,4508,2224,32500
2016/7/5 11:00,13396,6430,8742,3482,4599,2254,31093
2016/7/5 11:15,12726,6229,8138,2772,4203,2163,29897
2016/7/5 11:30,11855,6095,7676,3020,3899,2071,28279
2016/7/5 11:45,10918,5090,7249,2203,3746,2071,26099
2016/7/5 12:00,11253,5425,7676,2736,3594,2010,25677
2016/7/5 12:15,11052,5090,7071,2203,3442,1980,26169
2016/7/5 12:30,10851,5358,7143,3020,3442,2041,25606
2016/7/5 12:45,10717,5358,6645,2097,3411,2010,26662
2016/7/5 13:00,9913,4555,6681,2310,3320,1919,27154
